title,cover_img,year_released,release_type
10 Great Songs,https://i.discogs.com/J26XoPDivCk0uLkcelONd6BzKjMrbjfWnMPNDw6Frpo/rs:fit/g:sm/q:90/h:491/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxOTY4/OTktMTQxMzQ3NDY1/NC0zOTU4LmpwZWc.jpeg,2009,studio_album
Road Trippin' Through Time,https://i.discogs.com/MVFIn2Qhz5RAT2zYuC3tkrlxlDLT5opQ9bYTWh3Q6ss/rs:fit/g:sm/q:90/h:438/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ3NzIy/MTUtMTM3NTAzMDYx/MC02Mjg3LmpwZWc.jpeg,2011,studio_album
I'm with You,https://i.discogs.com/8TDtid1uQrRaxLrIOOZTXmAs9Ukvlt0_VXDXxqK5CIY/rs:fit/g:sm/q:90/h:545/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNzM3/MTEtMTMxNTI1MjA4/Ny5qcGVn.jpeg,2011,studio_album
I'm Beside You,https://i.discogs.com/F9Ikm5kZ7mDhapom1G82JBiRxDEUAz8YWph6iYER0h0/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTUzNjIz/NjktMTUyNDA5Mzcz/OS00NDQ2LmpwZWc.jpeg,2013,studio_album
"Cardiff, Wales: 6/23/04",https://i.discogs.com/vJIoc2LbDJUq5TVpttnfQW6q055jryxs8_Ia7bPRsnQ/rs:fit/g:sm/q:90/h:200/w:362/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY3ODc0/NDktMTQyNjYxNzU5/Ni00MTEwLmpwZWc.jpeg,2015,studio_album
The Getaway,https://i.discogs.com/baYWX5KmzX6ZM5dHXTrcXUB1pPQoSg69wgdf3wHWDS8/rs:fit/g:sm/q:90/h:540/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2NTEx/NjctMTU5Nzk2NjY5/Ny04MDgzLmpwZWc.jpeg,2016,studio_album
Unlimited Love,https://i.discogs.com/Cvfh3uEfMCQKjAtYpNqtcJor4ZdaBXh-4KwzfhIvUM4/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNzI5/NDU0LTE2NDg5MTEx/NTUtNTA3OC5qcGVn.jpeg,2022,studio_album
Return of the Dream Canteen,https://i.discogs.com/DHWL6rPC0W_kgDeFZjgAsbIgHYx_O_cMSlEAjWPmxww/rs:fit/g:sm/q:90/h:595/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0ODE4/NzU2LTE2NjcyNDgw/MjctMzcyNy5qcGVn.jpeg,2022,studio_album
Come Back Wearing A Smile,https://i.discogs.com/io_vJnrd-w_IGe0hDmix93WRJNHNQBT74fiofopJWAo/rs:fit/g:sm/q:90/h:566/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyOTQ0/MzUtMTQ3MDI0MDI3/OS05MjU1LmpwZWc.jpeg,2011,bootleg
Dirty Weekend,https://i.discogs.com/oyTwEuZjdfNauNOsqC95LYmv5lCGHYjXfILBf11Kj0I/rs:fit/g:sm/q:90/h:200/w:200/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMTA0/ODQtMTIwODU5Njg5/OS5qcGVn.jpeg,1994,bootleg
Everybody Do The Twist,https://i.discogs.com/PsQvDIJJY748gLdT67zBgHrrLEn4VcImMZfCs6XmxYI/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTUx/Mjg4LTE0OTk3MzQz/NDctMzQ3MC5qcGVn.jpeg,2006,bootleg
Get The Funk Out,https://i.discogs.com/NabbBEkxNb-itAUx90d6Btf7XAn2ltUCXwET-9otPrU/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMTA0/NzAtMTU1OTE1NjI5/MS01ODU4LmpwZWc.jpeg,1992,bootleg
Lollapalooza '92,https://i.discogs.com/JHwpPu4pS1OqoacYqTRhmNiZR4Tyy2iHqGlk-6zLusI/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMTAz/MDgtMTI1ODY1NDQw/My5qcGVn.jpeg,1992,bootleg
Woodstock '99,https://i.discogs.com/Tg0t5cQz8r1SBYOrW-_CnpYfdKjNgjNN05gf7ZSQ4YE/rs:fit/g:sm/q:90/h:532/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NDE3/MjM3LTE1OTEyMDMy/NzAtNDA0Ny5qcGVn.jpeg,1999,bootleg
Havana Affair,https://i.discogs.com/TkKARoSE9fyiWXZ8Iu1JU8n8FSFwIvzva-2Y0Laeexg/rs:fit/g:sm/q:90/h:600/w:383/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NDQ4/ODg2LTE3NjIwMTUw/MTUtOTAxMC5qcGVn.jpeg,2003,bootleg
Live At Rock Am Ring 2004,https://i.discogs.com/DbTRzcNfwEasOGekGCw7J4hd4XfXSUxAXRO5-4OlgaI/rs:fit/g:sm/q:90/h:600/w:590/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0NTg1/NDUtMTU4NDExMzcw/NS04MTEyLmpwZWc.jpeg,2004,bootleg
Sao Paulo 2023,https://i.discogs.com/R2ChwK1_fOwzdv3RufCViEMxHzYVPVmZpvcPAi4KHao/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyMTMw/MzQ4LTE3MzAxMjQw/NDYtODQ5My5wbmc.jpeg,2003,bootleg
